start,end,flow,distance,Time
650,653,2,240.5988463771659,T2
650,653,1,235.5988463771659,T2
650,653,1,150.5988463771659,T2
653,604,1,153.08339376122788,T2
653,604,1,158.08339376122788,T2
653,604,1,173.08339376122788,T2
653,604,1,178.08339376122788,T2
650,653,1,270.5988463771659,T2
653,604,1,143.08339376122788,T2
650,653,1,260.5988463771659,T2
650,653,2,240.5988463771659,T2
650,653,2,235.5988463771659,T2
650,653,1,265.5988463771659,T2
499,604,1,71.57855110483032,T2
604,653,1,58.083393761227875,T2
604,499,1,56.578551104830325,T2
604,653,1,188.08339376122788,T2
604,653,1,173.08339376122788,T2
604,499,1,86.57855110483032,T2
604,499,1,91.57855110483032,T2
604,653,1,73.08339376122788,T2
604,499,1,91.57855110483032,T2
248,96,1,146.57631366852297,T2
604,653,1,178.08339376122788,T2
604,499,2,86.57855110483032,T2
604,653,1,198.08339376122788,T2
604,499,1,106.57855110483032,T2
604,499,2,126.57855110483032,T2
604,499,2,131.57855110483032,T2
604,653,1,193.08339376122788,T2
604,653,1,178.08339376122788,T2
604,653,1,168.08339376122788,T2
604,499,1,86.57855110483032,T2
604,499,2,106.57855110483032,T2
604,499,2,111.57855110483032,T2
604,653,1,198.08339376122788,T2
604,653,1,193.08339376122788,T2
604,499,1,86.57855110483032,T2
604,499,1,111.57855110483032,T2
604,499,1,116.57855110483032,T2
653,604,1,213.08339376122788,T2
650,653,1,315.5988463771659,T2
650,653,1,310.5988463771659,T2
653,604,1,218.08339376122788,T2
650,653,1,185.5988463771659,T2
650,653,1,315.5988463771659,T2
650,653,1,305.5988463771659,T2
650,653,2,300.5988463771659,T2
650,653,1,280.5988463771659,T2
653,604,1,198.08339376122788,T2
653,604,1,213.08339376122788,T2
653,604,1,193.08339376122788,T2
653,604,1,198.08339376122788,T2
650,653,4,300.5988463771659,T2
650,653,2,295.5988463771659,T2
653,604,1,213.08339376122788,T2
653,604,1,213.08339376122788,T2
650,653,1,280.5988463771659,T2
653,604,2,198.08339376122788,T2
650,653,2,300.5988463771659,T2
650,653,2,295.5988463771659,T2
650,653,1,285.5988463771659,T2
650,653,1,205.5988463771659,T2
653,604,1,168.08339376122788,T3
604,499,1,111.57855110483032,T3
604,653,1,288.08339376122785,T3
96,248,1,136.57631366852297,T3
604,653,1,283.08339376122785,T3
650,653,1,290.5988463771659,T3
650,653,1,200.5988463771659,T3
650,653,1,130.5988463771659,T3
653,604,1,148.08339376122788,T3
604,653,1,98.08339376122788,T3
604,499,1,76.57855110483032,T3
604,653,1,108.08339376122788,T3
248,96,1,131.57631366852297,T3
604,499,1,131.57855110483032,T3
96,248,2,131.57631366852297,T3
96,248,1,126.57631366852296,T3
604,653,1,198.08339376122788,T3
604,653,1,193.08339376122788,T3
604,653,1,183.08339376122788,T3
604,499,1,116.57855110483032,T3
604,653,1,213.08339376122788,T3
604,653,1,193.08339376122788,T3
96,248,1,131.57631366852297,T3
96,248,1,126.57631366852296,T3
650,653,1,255.5988463771659,T3
650,653,1,290.5988463771659,T3
653,604,1,173.08339376122788,T3
650,653,1,260.5988463771659,T3
650,653,1,280.5988463771659,T3
653,604,1,243.08339376122788,T3
653,604,1,168.08339376122788,T3
650,653,1,275.5988463771659,T3
650,653,1,270.5988463771659,T3
653,604,1,178.08339376122788,T3
650,653,1,295.5988463771659,T3
650,653,1,290.5988463771659,T3
653,604,3,188.08339376122788,T3
650,653,1,255.5988463771659,T3
650,653,1,250.5988463771659,T3
650,653,1,245.5988463771659,T3
653,604,1,168.08339376122788,T3
653,604,1,173.08339376122788,T3
653,604,1,178.08339376122788,T3
653,604,1,248.08339376122788,T3
650,653,1,235.5988463771659,T3
650,653,1,170.5988463771659,T3
604,653,1,118.08339376122788,T3
604,499,2,81.57855110483032,T3
604,499,1,81.57855110483032,T3
604,499,1,116.57855110483032,T3
604,653,1,118.08339376122788,T3
604,499,1,116.57855110483032,T3
604,499,1,116.57855110483032,T3
604,653,1,168.08339376122788,T3
604,499,1,86.57855110483032,T3
604,499,1,106.57855110483032,T3
604,499,1,111.57855110483032,T3
604,653,5,198.08339376122788,T3
604,653,1,193.08339376122788,T3
604,499,1,121.57855110483032,T3
604,653,1,133.08339376122788,T3
604,653,1,123.08339376122788,T3
604,499,1,96.57855110483032,T3
604,499,1,121.57855110483032,T3
604,499,1,131.57855110483032,T3
604,653,1,178.08339376122788,T3
604,653,1,173.08339376122788,T3
604,499,1,96.57855110483032,T3
604,499,1,106.57855110483032,T3
604,499,2,111.57855110483032,T3
604,653,2,203.08339376122788,T3
